date,exchange,code,name,total_shares_wanfen
2026-09-01,SSE,511160,国债东财,2189.09
2026-09-01,SSE,511180,上证转债,99125.97
2026-09-01,SSE,511190,信用债,14880.43
2026-09-01,SSE,511200,信用债基,24256.75
2026-09-01,SSE,511220,城投ETF,531188.14
2026-09-01,SSE,511260,十年国债,16880.65
2026-09-01,SSE,511270,10年地债,8993.75
2026-09-01,SSE,511360,短融ETF,73649.26
2026-09-01,SSE,511380,转债ETF,452758.67
2026-09-01,SSE,511520,政金债,38419.65
2026-09-01,SSE,511580,国债政金,7010.48
2026-09-01,SSE,512000,券商ETF,7206303.54
2026-09-01,SSE,512010,医药ETF,4027769.49
2026-09-01,SSE,512020,A500,110901.27
2026-09-01,SSE,512030,A50增,4324
2026-09-01,SSE,512040,国信价值,448871.59
2026-09-01,SSE,512050,A500E,1634899.22
2026-09-01,SSE,512060,A100指基,1092.8
2026-09-01,SSE,512070,证券保险,1653547.97
2026-09-01,SSE,512080,A500中金,77618.61
2026-09-01,SSE,512090,MSCI易基,33359.23
2026-09-01,SSE,512100,1000ETF,623721.76
2026-09-01,SSE,512120,医药50,77624.19
2026-09-01,SSE,512130,现金全指,1489.5
2026-09-01,SSE,512140,电力事业,14204.9
2026-09-01,SSE,512150,A50ETF,1807.34
2026-09-01,SSE,512160,MSCI基金,12177.78
2026-09-01,SSE,512170,医疗ETF,7164382.05
2026-09-01,SSE,512180,建信MSCI,4804.8
2026-09-01,SSE,512190,之江凤凰,20081.84
2026-09-01,SSE,512200,地产ETF,305084.79
2026-09-01,SSE,512220,TMTETF,20996.76
2026-09-01,SSE,512240,A50龙头,2168.6
2026-09-01,SSE,512250,A50指数E,11810.01
2026-09-01,SSE,512260,500低波,2049.77
2026-09-01,SSE,512290,生物医药,315582.07
2026-09-01,SSE,512330,信息ETF,35518.8
2026-09-01,SSE,512360,MSCI国际,2733.77
2026-09-01,SSE,512370,A500增指,29631.3
2026-09-01,SSE,512380,MSCI中国,7580.56
2026-09-01,SSE,512390,MSCI低波,1268.2
2026-09-01,SSE,512400,有色ETF,1422253.9
2026-09-01,SSE,512410,银行广发,4347.17
2026-09-01,SSE,512420,机械华安,7423.89
2026-09-01,SSE,512430,家电家居,2872
2026-09-01,SSE,512450,广发养殖,10586.7
2026-09-01,SSE,512460,电池主题,30182.3
2026-09-01,SSE,512480,半导体,1955400.72
2026-09-01,SSE,512500,中证500,180720.88
2026-09-01,SSE,512510,ETF500,43042.98
2026-09-01,SSE,512520,MSCIETF,4505.64
2026-09-01,SSE,512530,300红利,9550.2
2026-09-01,SSE,512550,A50基金,10790.6
2026-09-01,SSE,512560,中证军工,94112.7
2026-09-01,SSE,512570,中证证券,400580.61
2026-09-01,SSE,512580,环保ETF,56787.17
2026-09-01,SSE,512600,必选消费,167135.61
2026-09-01,SSE,512620,农业TH,141766.6
2026-09-01,SSE,512630,卫星基金,163642.6
2026-09-01,SSE,512640,金融地产,2024.09
2026-09-01,SSE,512650,长三角,3094.16
2026-09-01,SSE,512660,军工ETF,622508
2026-09-01,SSE,512670,国防ETF,218965.26
2026-09-01,SSE,512680,军工基金,305453.01
2026-09-01,SSE,512690,酒ETF,3154435.02
2026-09-01,SSE,512700,XD银行基,70458.1
2026-09-01,SSE,512710,军工龙头,1160865.84
2026-09-01,SSE,512720,计算机,36345.34
2026-09-01,SSE,512730,银行FUND,5208.39
2026-09-01,SSE,512750,基本面50,4655.49
2026-09-01,SSE,512760,芯片ETF,961344.55
2026-09-01,SSE,512770,战略新兴,9826.78
2026-09-01,SSE,512800,银行ETF,1189947.99
2026-09-01,SSE,512810,国防军工,97558.35
2026-09-01,SSE,512820,银行股基,38260.19
2026-09-01,SSE,512870,杭州湾区,2241.06
2026-09-01,SSE,512880,证券ETF,5632429.15
2026-09-01,SSE,512890,红利低波,2702711.08
2026-09-01,SSE,512900,证券基金,746140.6
2026-09-01,SSE,512910,100ETF,13112.88
2026-09-01,SSE,512930,AIETF,484452.13
2026-09-01,SSE,512940,有色矿业,214370.5
2026-09-01,SSE,512950,央企改革,404255.1
2026-09-01,SSE,512960,央调ETF,385545.73
2026-09-01,SSE,512970,湾区ETF,498.76
2026-09-01,SSE,512980,传媒ETF,495742.44
2026-09-01,SSE,512990,MSCIA股,9901.54
2026-09-01,SSE,513000,225ETF,100291.14
2026-09-01,SSE,513010,港股科技,4423930.7
2026-09-01,SSE,513020,科技HK,228814.54
2026-09-01,SSE,513030,德国ETF,101777.9
2026-09-01,SSE,513040,HK互联网,681434.13
2026-09-01,SSE,513050,中概互联,3453843.27
2026-09-01,SSE,513060,恒生医疗,858539.33
2026-09-01,SSE,513070,HK消费50,133676.08
2026-09-01,SSE,513080,法国ETF,66091.6
2026-09-01,SSE,513090,香港证券,978448.8
2026-09-01,SSE,513100,纳指ETF,946511.06
2026-09-01,SSE,513110,纳指100,220243.5
2026-09-01,SSE,513120,HK创新药,1884863.54
2026-09-01,SSE,513130,恒生科技,5669434.7
2026-09-01,SSE,513140,港股金融,7836.8
2026-09-01,SSE,513150,港科技50,10055.98
2026-09-01,SSE,513160,科技30,318918.93
2026-09-01,SSE,513170,恒生央企,16357.3
2026-09-01,SSE,513180,恒指科技,6954675.95
2026-09-01,SSE,513190,H股金融,99693.6
2026-09-01,SSE,513200,港股医药,89028.21
2026-09-01,SSE,513210,恒生E,4094.2
2026-09-01,SSE,513220,互联网30,52110.94
2026-09-01,SSE,513230,H股消费,32942.27
2026-09-01,SSE,513240,港信息,10949.6
2026-09-01,SSE,513260,恒科技,473524.3
2026-09-01,SSE,513280,恒生生物,36511.45
2026-09-01,SSE,513290,纳指生物,104857.21
2026-09-01,SSE,513300,纳斯达克,533692.1
2026-09-01,SSE,513310,中韩芯片,242742.7
2026-09-01,SSE,513320,HK新经济,9101.06
2026-09-01,SSE,513330,恒生互联,6985748
2026-09-01,SSE,513350,油气ETF,84474.6
2026-09-01,SSE,513360,教育ETF,61771.39
2026-09-01,SSE,513380,科技恒生,1778278.49
2026-09-01,SSE,513390,纳指基金,214537.91
2026-09-01,SSE,513400,道琼斯,276206.2
2026-09-01,SSE,513500,标普500,1021463.86
2026-09-01,SSE,513520,日经ETF,107738.72
2026-09-01,SSE,513530,港股红利,283793.87
2026-09-01,SSE,513550,港股通50,168299.2
2026-09-01,SSE,513560,香港科技,53138.6
2026-09-01,SSE,513580,HS科技,606011.8
2026-09-01,SSE,513590,香港消费,13051.89
2026-09-01,SSE,513600,恒指ETF,60982.95
2026-09-01,SSE,513620,港医疗指,5721.6
2026-09-01,SSE,513630,香港红利,752335.9
2026-09-01,SSE,513650,标普ETF,436573.4
2026-09-01,SSE,513660,恒生通,180800.02
2026-09-01,SSE,513690,恒生股息,314997.99
2026-09-01,SSE,513700,香港医药,79484.6
2026-09-01,SSE,513720,香港互联,24885.9
2026-09-01,SSE,513730,东南亚,77635.5
2026-09-01,SSE,513750,港股非银,808783.8
2026-09-01,SSE,513770,港股互联,1445013.79
2026-09-01,SSE,513780,港股新药,188765.7
2026-09-01,SSE,513800,东证ETF,103704.44
2026-09-01,SSE,513810,港股国企,4199.2
2026-09-01,SSE,513820,港股分红,173766.9
2026-09-01,SSE,513830,红利港股,5381.1
2026-09-01,SSE,513850,美国50,124489.26
2026-09-01,SSE,513860,HKC科技,271947.06
2026-09-01,SSE,513870,纳指指数,137767.1
2026-09-01,SSE,513880,日经225,131397
2026-09-01,SSE,513890,HK科技,89512.8
2026-09-01,SSE,513900,港股100,8997.8
2026-09-01,SSE,513910,红利央企,196627.6
2026-09-01,SSE,513920,央企40,260573.1
2026-09-01,SSE,513930,香港生科,10290.8
2026-09-01,SSE,513950,恒生红利,240761.9
2026-09-01,SSE,513970,恒生消费,140604.1
2026-09-01,SSE,513980,科技港股,1676720.4
2026-09-01,SSE,513990,港股通综,4300
2026-09-01,SSE,515000,科技ETF,318257.93
2026-09-01,SSE,515010,华夏证券,205077.16
2026-09-01,SSE,515020,银行指数,37484.53
2026-09-01,SSE,515030,新汽车,149538.4
2026-09-01,SSE,515040,工业金属,5131.96
2026-09-01,SSE,515050,5GETF,1733920.54
2026-09-01,SSE,515060,华夏地产,102647.81
2026-09-01,SSE,515070,AI智能,750694.04
2026-09-01,SSE,515080,中证红利,685114.89
2026-09-01,SSE,515090,可持续,1180.17
2026-09-01,SSE,515100,红利100,363919.15
2026-09-01,SSE,515110,国企方达,21429.5
2026-09-01,SSE,515120,创新药,1738299.36
2026-09-01,SSE,515130,HS300E,9446.32
2026-09-01,SSE,515150,国企富国,39770.32
2026-09-01,SSE,515160,MSCI招商,24395.51
2026-09-01,SSE,515170,食品饮料,860725.79
2026-09-01,SSE,515180,100红利,1280963.7
2026-09-01,SSE,515190,BOCI500,29346.61
2026-09-01,SSE,515200,创新100,3794.32
2026-09-01,SSE,515210,钢铁ETF,101172.61
2026-09-01,SSE,515220,煤炭ETF,989567.69
2026-09-01,SSE,515230,软件ETF,792369.09
2026-09-01,SSE,515250,智能汽车,34094.45
2026-09-01,SSE,515260,电子ETF,86656.84
2026-09-01,SSE,515290,银行,258047.29
2026-09-01,SSE,515300,红利300,334817.52
2026-09-01,SSE,515310,添富300,31461.12
2026-09-01,SSE,515320,电子50,8930.9
2026-09-01,SSE,515330,天弘300,617670.95
2026-09-01,SSE,515350,民生300,1169.92
2026-09-01,SSE,515360,方正300,3727.93
2026-09-01,SSE,515370,中证光伏,96171.3
2026-09-01,SSE,515380,泰康300,66249.98
2026-09-01,SSE,515390,HS300,192268.3
2026-09-01,SSE,515400,大数据,163063.14
2026-09-01,SSE,515450,红利50,1416683.5
2026-09-01,SSE,515460,质量红利,27509.1
2026-09-01,SSE,515480,红利一百,2534.07
2026-09-01,SSE,515530,泰康500,1224.27
2026-09-01,SSE,515550,国联500,2034.57
2026-09-01,SSE,515560,证券E,19288.33
2026-09-01,SSE,515580,中证科技,30403.14
2026-09-01,SSE,515590,500ETFEW,3611.37
2026-09-01,SSE,515600,央企创新,103779.74
2026-09-01,SSE,515630,保险证券,92121.77
2026-09-01,SSE,515640,家电指数,1705
2026-09-01,SSE,515650,消费50,303518.4
2026-09-01,SSE,515660,沪深300E,43359.42
2026-09-01,SSE,515680,创新央企,109926.47
2026-09-01,SSE,515700,新能车,67851.02
2026-09-01,SSE,515710,食品ETF,232309.98
2026-09-01,SSE,515720,金科富国,44161.1
2026-09-01,SSE,515730,家居家电,3989.2
2026-09-01,SSE,515750,科技50,26414.05
2026-09-01,SSE,515760,浙江国资,9438.81
2026-09-01,SSE,515770,MSCIAETF,3972.73
2026-09-01,SSE,515790,光伏ETF,596149.4
2026-09-01,SSE,515800,800ETF,394393.72
2026-09-01,SSE,515810,ZZ800ETF,26390.88
2026-09-01,SSE,515840,食品南方,3342.64
2026-09-01,SSE,515850,证券龙头,48029.1
2026-09-01,SSE,515860,科技100,10187.89
2026-09-01,SSE,515880,通信ETF,6310577.4
2026-09-01,SSE,515890,红利博时,37744.39
2026-09-01,SSE,515900,央创ETF,222724.65
2026-09-01,SSE,515910,质量ETF,22750.7
2026-09-01,SSE,515920,智能消费,6440.57
2026-09-01,SSE,515950,医药龙头,53120.06
2026-09-01,SSE,515960,医药100,23999.19
2026-09-01,SSE,515970,华夏机械,60108.8
2026-09-01,SSE,515980,人工智能,619412.9
2026-09-01,SSE,515990,添富国企,5335.02
2026-09-01,SSE,516000,数据ETF,42485.5
2026-09-01,SSE,516010,游戏ETF,245969.3
2026-09-01,SSE,516020,化工ETF,346632.62
2026-09-01,SSE,516050,科技龙头,16022.8
2026-09-01,SSE,516060,新药ETF,29623.74
2026-09-01,SSE,516070,碳中和50,29164.6
2026-09-01,SSE,516080,创新医药,526355.48
2026-09-01,SSE,516090,新能源E,165484.48
2026-09-01,SSE,516100,科技金融,113675.97
2026-09-01,SSE,516110,汽车ETF,21662.31
2026-09-01,SSE,516120,化工50,502258.2
2026-09-01,SSE,516130,消费龙头,157889
2026-09-01,SSE,516150,稀土基金,382007.7
2026-09-01,SSE,516160,新能源,151864.2
2026-09-01,SSE,516180,光伏产业,14998.7
2026-09-01,SSE,516190,文娱ETF,11881.85
2026-09-01,SSE,516200,证券行业,44460.4
2026-09-01,SSE,516210,银行股,7663.1
2026-09-01,SSE,516220,化工龙头,25717
2026-09-01,SSE,516230,光伏招商,74492.1
2026-09-01,SSE,516250,富国机械,6387.8
2026-09-01,SSE,516260,物联网50,4388.26
2026-09-01,SSE,516270,新能源50,29540.9
2026-09-01,SSE,516290,光伏基金,73919.69
2026-09-01,SSE,516300,中证1000,3901.26
2026-09-01,SSE,516310,银行指基,155965.85
2026-09-01,SSE,516320,装备ETF,8758.93
2026-09-01,SSE,516330,物联网,847.13
2026-09-01,SSE,516350,芯片50,142041.53
2026-09-01,SSE,516360,新材料,5755.18
2026-09-01,SSE,516370,全指电力,29240.8
2026-09-01,SSE,516380,智能电车,8344.93
2026-09-01,SSE,516390,电动车,18126.1
2026-09-01,SSE,516440,南方机械,13812.66
2026-09-01,SSE,516460,现金流E,42169.3
2026-09-01,SSE,516500,生物ETF,20393.72
2026-09-01,SSE,516510,云计算,150589
2026-09-01,SSE,516520,智能驾驶,79176.55
2026-09-01,SSE,516530,物流快递,1780.23
2026-09-01,SSE,516550,农业ETF,26041.44
2026-09-01,SSE,516560,养老ETF,20875.8
2026-09-01,SSE,516570,石化ETF,113335.76
2026-09-01,SSE,516580,新能源BS,14612.41
2026-09-01,SSE,516590,电动汽车,5201.5
2026-09-01,SSE,516600,消服ETF,11033.21
2026-09-01,SSE,516610,医服ETF,23297.48
2026-09-01,SSE,516620,影视ETF,34026.75
2026-09-01,SSE,516630,云计算50,47515.6
2026-09-01,SSE,516640,芯片龙头,130848.28
2026-09-01,SSE,516650,有色50,523346.48
2026-09-01,SSE,516660,新能汽车,15468.9
2026-09-01,SSE,516670,畜牧养殖,336426.63
2026-09-01,SSE,516700,数据产业,17512.2
2026-09-01,SSE,516710,新材料50,7427.2
2026-09-01,SSE,516720,ESGETF,933.78
2026-09-01,SSE,516730,证券公司,22738.08
2026-09-01,SSE,516750,建材ETF,13866.73
2026-09-01,SSE,516760,养殖ETF,29621.51
2026-09-01,SSE,516770,游戏动漫,27104.8
2026-09-01,SSE,516780,稀土ETF,239659.97
2026-09-01,SSE,516790,保健ETF,18268.22
2026-09-01,SSE,516800,智能制造,18230.8
2026-09-01,SSE,516810,农业,52347.89
2026-09-01,SSE,516820,医疗创新,458141.52
2026-09-01,SSE,516830,300ESG,8967.69
2026-09-01,SSE,516840,汽车基金,13527.7
2026-09-01,SSE,516850,新能源80,13923.7
2026-09-01,SSE,516860,金融科技,115752.2
2026-09-01,SSE,516880,光伏50,91594.41
2026-09-01,SSE,516890,新材ETF,3331.14
2026-09-01,SSE,516900,食品50,28022.9
2026-09-01,SSE,516910,物流ETF,6214.18
2026-09-01,SSE,516920,芯片基金,47946.3
2026-09-01,SSE,516930,生科ETF,10613.96
2026-09-01,SSE,516950,基建ETF,11582.1
2026-09-01,SSE,516960,机械ETF,1605.11
2026-09-01,SSE,516970,基建50,117454.25
2026-09-01,SSE,516980,证券先锋,5551.6
2026-09-01,SSE,517000,沪港深,12279.3
2026-09-01,SSE,517010,HGS500E,7814.42
2026-09-01,SSE,517030,HGS300,8404.03
2026-09-01,SSE,517050,互联网50,34760.5
2026-09-01,SSE,517080,HGS500,17316.6
2026-09-01,SSE,517090,共赢ETF,5307.5
2026-09-01,SSE,517100,AH500ETF,14360.21
2026-09-01,SSE,517110,创新药HK,134009.85
2026-09-01,SSE,517120,创新药50,57696.64
2026-09-01,SSE,517130,云计算JS,18865.4
2026-09-01,SSE,517160,长江ETF,182677.75
2026-09-01,SSE,517170,沪港深E,1613.18
2026-09-01,SSE,517180,中国国企,8949.63
2026-09-01,SSE,517200,互联网,14478.2
2026-09-01,SSE,517230,云计算MW,16254.58
2026-09-01,SSE,517300,AH300ETF,100243.45
2026-09-01,SSE,517330,长江保护,180916.9
2026-09-01,SSE,517350,龙头科技,4904.2
2026-09-01,SSE,517360,AH科技,2508.3
2026-09-01,SSE,517380,创新药AH,303432.63
2026-09-01,SSE,517390,云计算AH,13011.26
2026-09-01,SSE,517400,黄金股票,97779.2
2026-09-01,SSE,517520,黄金股,627140.4
2026-09-01,SSE,517550,消费主题,8041.74
2026-09-01,SSE,517660,物联网AH,3988.07
2026-09-01,SSE,517770,游戏传媒,19694.78
2026-09-01,SSE,517800,AI50,21253.97
2026-09-01,SSE,517850,张江ETF,3818.52
2026-09-01,SSE,517880,品牌消费,4933.71
2026-09-01,SSE,517900,银行优选,39499.35
2026-09-01,SSE,517950,交银科技,4862.32
2026-09-01,SSE,517990,医药基金,4698.79
2026-09-01,SSE,518600,上海金,81421.63
2026-09-01,SSE,518660,工银黄金,95775.27
2026-09-01,SSE,518680,金ETF,76656.95
2026-09-01,SSE,518800,黄金基金,374927.92
2026-09-01,SSE,518850,黄金9999,188707.87
2026-09-01,SSE,518860,上海金E,46545.98
2026-09-01,SSE,518880,黄金ETF,1172184.08
2026-09-01,SSE,518890,中银黄金,37255.48
2026-09-01,SSE,520500,恒生新药,188980.5
2026-09-01,SSE,520510,港股医疗,24172.8
2026-09-01,SSE,520520,HK消费,5260.6
2026-09-01,SSE,520530,港科ETF,23477.6
2026-09-01,SSE,520550,红利恒生,114952.4
2026-09-01,SSE,520560,香港30,60741.9
2026-09-01,SSE,520570,科技恒指,350687.6
2026-09-01,SSE,520580,新兴亚洲,29098.39
2026-09-01,SSE,520590,恒科,19623.5
2026-09-01,SSE,520600,汽车港股,23586.8
2026-09-01,SSE,520610,港红利指,42596.3
2026-09-01,SSE,520620,港股消费,28840.9
2026-09-01,SSE,520630,互联港股,59461
2026-09-01,SSE,520650,互联网HK,248275.5
2026-09-01,SSE,520660,港红利CS,209248.55
2026-09-01,SSE,520670,港科基金,21392.81
2026-09-01,SSE,520680,港股通车,6936.9
2026-09-01,SSE,520690,恒生港药,62345.4
2026-09-01,SSE,520700,创新药WJ,46007.6
2026-09-01,SSE,520710,信息港股,9702.9
2026-09-01,SSE,520720,香港汽车,12194.2
2026-09-01,SSE,520730,汽车WJ,11839.44
2026-09-01,SSE,520740,互联香港,4601.26
2026-09-01,SSE,520750,HK信息,13438.4
2026-09-01,SSE,520760,港股生物,12846.6
2026-09-01,SSE,520770,港股恒指,21337.38
2026-09-01,SSE,520780,港股车50,3946
2026-09-01,SSE,520790,港互联网,57807.5
2026-09-01,SSE,520810,港高股息,32236
2026-09-01,SSE,520820,恒指通,5868.2
2026-09-01,SSE,520830,沙特ETF,106461.9
2026-09-01,SSE,520840,港科技,112654.9
2026-09-01,SSE,520850,港医疗,13924.96
2026-09-01,SSE,520860,港股通科,34019.5
2026-09-01,SSE,520870,巴西ETF,51197.72
2026-09-01,SSE,520880,港创新药,439561.8
2026-09-01,SSE,520890,港红利,8050.8
2026-09-01,SSE,520900,红利香港,153117.5
2026-09-01,SSE,520910,HK互联,75344.5
2026-09-01,SSE,520920,恒生科TH,1889401.9
2026-09-01,SSE,520930,恒生生科,16073.3
2026-09-01,SSE,520940,恒指基金,2229.7
2026-09-01,SSE,520950,港股50,32542.1
2026-09-01,SSE,520960,恒指港通,5060.34
2026-09-01,SSE,520970,港股通药,125235.8
2026-09-01,SSE,520980,港科技30,316938.7
2026-09-01,SSE,520990,国新红利,342047.05
2026-09-01,SSE,526000,港股信息,17614.2
2026-09-01,SSE,526010,香港医疗,3645.8
2026-09-01,SSE,526030,港信息基,15346.5
2026-09-01,SSE,526050,香港信息,5363
2026-09-01,SSE,526070,恒生博时,5237.7
2026-09-01,SSE,530000,50ETF基,94102.94
2026-09-01,SSE,530050,SH50ETF,12881.3
2026-09-01,SSE,530060,上证综E,87619.3
2026-09-01,SSE,530080,180指基,2891.7
2026-09-01,SSE,530100,上证580,12069.6
2026-09-01,SSE,530180,上证180,5795.2
2026-09-01,SSE,530280,180ETF指,2993.4
2026-09-01,SSE,530300,180指数,3364.3
2026-09-01,SSE,530380,上证380,13470.5
2026-09-01,SSE,530530,580ETF,13446
2026-09-01,SSE,530580,180基金,5514.9
2026-09-01,SSE,530680,180E,10889.19
2026-09-01,SSE,530800,上180ETF,1820.18
2026-09-01,SSE,530880,上证红利,3983.6
2026-09-01,SSE,551000,科创债,7990.41
2026-09-01,SSE,551030,科创债券,18334
2026-09-01,SSE,551060,科创债沪,5740.1
2026-09-01,SSE,551300,科创债摩,5099.75
2026-09-01,SSE,551500,科创债易,12822
2026-09-01,SSE,551510,科债AAA,14221.61
2026-09-01,SSE,551520,科创债汇,21616.16
2026-09-01,SSE,551550,科创AAA,17933.82
2026-09-01,SSE,551560,科创债兴,17167.88
2026-09-01,SSE,551580,科创债TK,10702.68
2026-09-01,SSE,551800,国泰科债,11605.14
2026-09-01,SSE,551900,科创债指,13893.17
2026-09-01,SSE,560010,1000基金,183062.17
2026-09-01,SSE,560020,红利添富,13356.2
2026-09-01,SSE,560030,800价值,2343.2
2026-09-01,SSE,560050,MSCIA50,217993.44
2026-09-01,SSE,560060,碳中和基,7609
2026-09-01,SSE,560070,央企分红,8336.23
2026-09-01,SSE,560080,中药ETF,225726.5
2026-09-01,SSE,560090,证券指数,228836.5
2026-09-01,SSE,560100,增强ETF,5508.03
2026-09-01,SSE,560110,ZZ1000,34690.35
2026-09-01,SSE,560120,500现金,57868.9
2026-09-01,SSE,560130,食品基金,6977.62
2026-09-01,SSE,560150,红利TK,68127.93
2026-09-01,SSE,560160,食品E,10970.6
2026-09-01,SSE,560170,央企科技,37449.55
2026-09-01,SSE,560180,ESG300,1560.3
2026-09-01,SSE,560190,公用事业,2683.4
2026-09-01,SSE,560210,景顺农牧,51452.2
2026-09-01,SSE,560220,2000基金,6071.7
2026-09-01,SSE,560230,光伏富国,8588.9
2026-09-01,SSE,560250,红利质量,14083.3
2026-09-01,SSE,560260,医疗50,171566.47
2026-09-01,SSE,560270,电力指数,16443.9
2026-09-01,SSE,560280,工程机械,158425.2
2026-09-01,SSE,560290,景顺有色,36769.4
2026-09-01,SSE,560300,电信50,2680.34
2026-09-01,SSE,560310,光伏博时,18512.2
2026-09-01,SSE,560320,食品富国,11833.2
2026-09-01,SSE,560330,300价值E,1713
2026-09-01,SSE,560350,A50指数,84553.21
2026-09-01,SSE,560360,软件指数,22534.5
2026-09-01,SSE,560370,全指红利,21008.4
2026-09-01,SSE,560380,A100,14086.1
2026-09-01,SSE,560390,电网E,203525.8
2026-09-01,SSE,560400,证券华泰,17049.3
2026-09-01,SSE,560410,电池鹏华,5878.61
2026-09-01,SSE,560420,食品Q,13078.02
2026-09-01,SSE,560450,电力TH,24856.9
2026-09-01,SSE,560460,电力平安,28303.7
2026-09-01,SSE,560470,有色E,30434
2026-09-01,SSE,560480,中证电力,13980.3
2026-09-01,SSE,560490,华泰有色,10548.2
2026-09-01,SSE,560500,500质量,29533.9
2026-09-01,SSE,560510,中证A500,253102.69
2026-09-01,SSE,560520,红利大成,5175.1
2026-09-01,SSE,560530,A500ETF,399462.37
2026-09-01,SSE,560550,碳中和,12359.74
2026-09-01,SSE,560560,碳中和TK,7019.01
2026-09-01,SSE,560570,A500低波,115754.12
2026-09-01,SSE,560580,电力指基,44100.3
2026-09-01,SSE,560590,1000鹏华,2871
2026-09-01,SSE,560610,A500指数,524598.84
2026-09-01,SSE,560620,公用WJ,2636.7
2026-09-01,SSE,560630,机器人WJ,15339.4
2026-09-01,SSE,560660,云50ETF,12993.8
2026-09-01,SSE,560670,中证银行,4197.4
2026-09-01,SSE,560680,龙头消费,33522.56
2026-09-01,SSE,560690,电信主题,2038.9
2026-09-01,SSE,560700,央红利50,45003.69
2026-09-01,SSE,560710,船舶ETF,174558
2026-09-01,SSE,560720,工银红利,9754.8
2026-09-01,SSE,560730,红利GTHT,8183.63
2026-09-01,SSE,560750,A500申万,7855.48
2026-09-01,SSE,560770,机器人ZS,165163.3
2026-09-01,SSE,560780,半导设备,1302748.8
2026-09-01,SSE,560790,软件服务,22545.59
2026-09-01,SSE,560800,数字ETF,29395.11
2026-09-01,SSE,560810,央企ESG,18111.6
2026-09-01,SSE,560820,A50新华,4092.6
2026-09-01,SSE,560830,电指数,70151.9
2026-09-01,SSE,560850,信创50,6916.4
2026-09-01,SSE,560860,工业有色,532823.3
2026-09-01,SSE,560870,中银有色,9335.19
2026-09-01,SSE,560880,家电基金,19373.2
2026-09-01,SSE,560900,创新药企,21196.91
2026-09-01,SSE,560910,中证电池,19472.1
